SessionID,UserID,DeviceType,Country,ReferralSource,step1_home,step2_product,step3_cart,step4_checkout,step5_confirm,is_purchased
session_0,user_2223,Desktop,India,Social Media,1,0,0,0,0,0
session_1,user_2192,Tablet,Germany,Email,1,1,0,0,0,0
session_10,user_2357,Tablet,India,Direct,1,1,0,0,0,0
session_100,user_1233,Desktop,USA,Email,1,1,0,0,0,0
session_1000,user_1551,Mobile,France,Email,1,1,1,1,1,1
session_1001,user_2877,Desktop,Germany,Direct,1,1,1,0,0,0
session_1002,user_1834,Mobile,Canada,Direct,1,1,1,1,1,1
session_1003,user_1216,Mobile,India,Social Media,1,1,0,0,0,0
session_1004,user_1154,Mobile,Canada,Social Media,1,0,0,0,0,0
session_1005,user_1252,Tablet,Germany,Google,1,1,0,0,0,0
session_1006,user_1471,Mobile,USA,Email,1,0,0,0,0,0
session_1007,user_1010,Mobile,France,Social Media,1,1,1,1,1,1
session_1008,user_1722,Tablet,Canada,Social Media,1,1,0,0,0,0
session_1009,user_1796,Tablet,Australia,Social Media,1,1,1,0,0,0
session_101,user_1984,Mobile,France,Direct,1,1,1,1,1,1
session_1010,user_2634,Mobile,Canada,Social Media,1,1,1,0,0,0
session_1011,user_2682,Desktop,Germany,Direct,1,1,0,0,0,0
session_1012,user_2220,Desktop,USA,Social Media,1,1,0,0,0,0
session_1013,user_1989,Mobile,France,Google,1,1,0,0,0,0
session_1014,user_1188,Desktop,Germany,Social Media,1,1,0,0,0,0
session_1015,user_2597,Mobile,Australia,Google,1,1,1,1,1,1
session_1016,user_2752,Tablet,France,Direct,1,1,1,1,0,0
session_1017,user_2046,Tablet,Canada,Google,1,1,0,0,0,0
session_1018,user_2475,Tablet,France,Email,1,1,1,1,1,1
session_1019,user_2063,Mobile,India,Social Media,1,1,1,1,1,1
session_102,user_1480,Desktop,Australia,Direct,1,1,0,0,0,0
session_1020,user_1489,Mobile,Germany,Direct,1,1,0,0,0,0
session_1021,user_1740,Tablet,France,Direct,1,1,0,0,0,0
session_1022,user_1477,Tablet,USA,Social Media,1,1,1,1,1,1
session_1023,user_2410,Desktop,France,Social Media,1,1,1,0,0,0
session_1024,user_2179,Tablet,France,Google,1,1,0,0,0,0
session_1025,user_2874,Tablet,Australia,Direct,1,1,1,1,1,1
session_1026,user_2997,Mobile,USA,Social Media,1,1,0,0,0,0
session_1027,user_1571,Mobile,France,Google,1,1,1,1,1,1
session_1028,user_1178,Tablet,Australia,Google,1,1,1,1,1,1
session_1029,user_1181,Desktop,France,Google,1,1,0,0,0,0
session_103,user_2791,Desktop,France,Social Media,1,1,0,0,0,0
session_1030,user_2600,Desktop,UK,Direct,1,1,0,0,0,0
session_1031,user_2932,Mobile,USA,Direct,1,1,1,1,1,1
session_1032,user_1447,Mobile,India,Email,1,1,1,1,1,1
session_1033,user_2912,Desktop,India,Direct,1,1,1,1,1,1
session_1034,user_1258,Desktop,Canada,Email,1,1,0,0,0,0
session_1035,user_1548,Tablet,Australia,Google,1,1,0,0,0,0
session_1036,user_2985,Tablet,France,Social Media,1,1,0,0,0,0
session_1037,user_2861,Mobile,Germany,Email,1,1,0,0,0,0
session_1038,user_1806,Mobile,India,Social Media,1,1,1,1,1,1
session_1039,user_1161,Desktop,Germany,Social Media,1,1,1,0,0,0
session_104,user_2754,Tablet,UK,Social Media,1,1,0,0,0,0
session_1040,user_2629,Mobile,USA,Email,1,1,1,1,1,1
session_1041,user_1746,Mobile,USA,Email,1,1,1,0,0,0
session_1042,user_1867,Tablet,Australia,Social Media,1,0,0,0,0,0
session_1043,user_1466,Tablet,Canada,Email,1,0,0,0,0,0
session_1044,user_2118,Tablet,UK,Direct,1,1,0,0,0,0
session_1045,user_2691,Mobile,USA,Direct,1,1,1,1,1,1
session_1046,user_1525,Mobile,USA,Email,1,1,0,0,0,0
session_1047,user_1438,Mobile,France,Email,1,1,0,0,0,0
session_1048,user_1331,Desktop,Canada,Direct,1,1,0,0,0,0
session_1049,user_1240,Desktop,USA,Google,1,1,1,1,1,1
session_105,user_2525,Mobile,Canada,Social Media,1,1,0,0,0,0
session_1050,user_2475,Tablet,India,Direct,1,1,0,0,0,0
session_1051,user_1382,Mobile,UK,Direct,1,1,1,1,1,1
session_1052,user_1710,Mobile,Australia,Email,1,1,1,1,0,0
session_1053,user_1443,Desktop,France,Google,1,1,1,0,0,0
session_1054,user_2837,Desktop,Canada,Email,1,1,1,1,1,1
session_1055,user_1506,Tablet,USA,Google,1,1,0,0,0,0
session_1056,user_1488,Mobile,India,Direct,1,1,0,0,0,0
session_1057,user_2951,Mobile,UK,Direct,1,1,0,0,0,0
session_1058,user_1272,Tablet,UK,Social Media,1,1,0,0,0,0
session_1059,user_1381,Mobile,Canada,Google,1,1,0,0,0,0
session_106,user_1524,Desktop,UK,Google,1,1,0,0,0,0
session_1060,user_1617,Tablet,USA,Direct,1,1,0,0,0,0
session_1061,user_1328,Mobile,USA,Social Media,1,1,1,1,1,1
session_1062,user_2713,Mobile,France,Google,1,1,1,1,1,1
session_1063,user_1114,Mobile,Germany,Social Media,1,1,0,0,0,0
session_1064,user_2115,Desktop,USA,Email,1,1,0,0,0,0
session_1065,user_2718,Tablet,France,Google,1,0,0,0,0,0
session_1066,user_2347,Tablet,Australia,Google,1,1,0,0,0,0
session_1067,user_1459,Mobile,Australia,Google,1,0,0,0,0,0
session_1068,user_2032,Tablet,Germany,Direct,1,1,0,0,0,0
session_1069,user_2948,Tablet,Germany,Direct,1,1,0,0,0,0
session_107,user_2173,Mobile,UK,Email,1,1,0,0,0,0
session_1070,user_1569,Tablet,India,Social Media,1,1,1,0,0,0
session_1071,user_2602,Desktop,Germany,Social Media,1,1,0,0,0,0
session_1072,user_1364,Mobile,USA,Google,1,1,0,0,0,0
session_1073,user_2463,Mobile,UK,Google,1,1,1,1,1,1
session_1074,user_2249,Desktop,France,Direct,1,1,1,1,1,1
session_1075,user_1013,Desktop,Australia,Google,1,1,0,0,0,0
session_1076,user_2114,Desktop,UK,Google,1,1,0,0,0,0
session_1077,user_2086,Desktop,Australia,Google,1,0,0,0,0,0
session_1078,user_2831,Desktop,Germany,Email,1,0,0,0,0,0
session_1079,user_1802,Mobile,UK,Direct,1,1,0,0,0,0
session_108,user_2167,Mobile,Canada,Email,1,1,0,0,0,0
session_1080,user_2805,Tablet,Germany,Social Media,1,1,1,0,0,0
session_1081,user_2776,Tablet,UK,Google,1,0,0,0,0,0
session_1082,user_1058,Mobile,Germany,Google,1,0,0,0,0,0
session_1083,user_1410,Tablet,USA,Direct,1,1,0,0,0,0
session_1084,user_2396,Desktop,Australia,Email,1,0,0,0,0,0
session_1085,user_1894,Mobile,UK,Direct,1,1,1,0,0,0
session_1086,user_1227,Mobile,India,Social Media,1,0,0,0,0,0
session_1087,user_2824,Mobile,France,Email,1,1,0,0,0,0
session_1088,user_1902,Desktop,UK,Google,1,1,1,1,1,1
session_1089,user_1004,Tablet,Germany,Google,1,0,0,0,0,0
session_109,user_1774,Mobile,Canada,Google,1,1,1,1,1,1
session_1090,user_2322,Mobile,Australia,Google,1,1,0,0,0,0
session_1091,user_2296,Desktop,Canada,Email,1,1,0,0,0,0
session_1092,user_1786,Desktop,Germany,Email,1,1,0,0,0,0
session_1093,user_1006,Desktop,USA,Direct,1,1,0,0,0,0
session_1094,user_2289,Mobile,Germany,Google,1,0,0,0,0,0
session_1095,user_1541,Tablet,USA,Direct,1,1,0,0,0,0
session_1096,user_2861,Tablet,France,Email,1,1,0,0,0,0
session_1097,user_1261,Mobile,India,Direct,1,0,0,0,0,0
session_1098,user_1905,Tablet,USA,Google,1,1,0,0,0,0
session_1099,user_1113,Desktop,Australia,Direct,1,0,0,0,0,0
session_11,user_2760,Tablet,USA,Direct,1,1,1,0,0,0
session_110,user_2713,Tablet,Canada,Direct,1,1,1,1,1,1
session_1100,user_2939,Mobile,Germany,Social Media,1,1,1,1,1,1
session_1101,user_1514,Tablet,Canada,Google,1,0,0,0,0,0
session_1102,user_2941,Tablet,France,Email,1,0,0,0,0,0
session_1103,user_1864,Desktop,India,Social Media,1,0,0,0,0,0
session_1104,user_2189,Desktop,India,Google,1,1,0,0,0,0
session_1105,user_1594,Mobile,UK,Google,1,1,0,0,0,0
session_1106,user_2314,Desktop,India,Google,1,1,0,0,0,0
session_1107,user_1643,Desktop,France,Direct,1,1,0,0,0,0
session_1108,user_2048,Mobile,France,Direct,1,1,1,1,1,1
session_1109,user_1775,Tablet,India,Google,1,1,0,0,0,0
session_111,user_2430,Desktop,Germany,Email,1,1,0,0,0,0
session_1110,user_1534,Mobile,USA,Social Media,1,1,1,1,1,1
session_1111,user_2964,Desktop,Germany,Email,1,1,1,1,1,1
session_1112,user_1323,Desktop,France,Direct,1,1,1,1,1,1
session_1113,user_1495,Tablet,India,Google,1,0,0,0,0,0
session_1114,user_1515,Desktop,UK,Google,1,1,0,0,0,0
session_1115,user_1926,Tablet,Australia,Google,1,1,1,1,1,1
session_1116,user_2121,Desktop,Canada,Email,1,1,1,1,1,1
session_1117,user_1834,Tablet,USA,Google,1,1,1,1,1,1
session_1118,user_1295,Mobile,France,Direct,1,1,1,1,1,1
session_1119,user_2694,Desktop,USA,Email,1,1,1,1,0,0
session_112,user_2488,Tablet,Canada,Social Media,1,1,0,0,0,0
session_1120,user_2661,Mobile,UK,Email,1,1,0,0,0,0
session_1121,user_2862,Mobile,Germany,Social Media,1,1,1,0,0,0
session_1122,user_1188,Mobile,Germany,Direct,1,1,0,0,0,0
session_1123,user_2354,Mobile,France,Google,1,1,0,0,0,0
session_1124,user_2092,Desktop,USA,Social Media,1,1,0,0,0,0
session_1125,user_1200,Desktop,India,Direct,1,1,1,1,1,1
session_1126,user_1317,Mobile,Canada,Direct,1,0,0,0,0,0
session_1127,user_1734,Desktop,France,Google,1,0,0,0,0,0
session_1128,user_2038,Mobile,Canada,Direct,1,1,1,1,1,1
session_1129,user_1332,Mobile,France,Google,1,1,1,0,0,0
session_113,user_1030,Tablet,UK,Email,1,1,0,0,0,0
session_1130,user_1785,Mobile,India,Email,1,1,1,1,1,1
session_1131,user_2995,Mobile,Canada,Google,1,1,0,0,0,0
session_1132,user_1295,Desktop,India,Email,1,1,1,1,1,1
session_1133,user_1525,Desktop,Canada,Direct,1,1,0,0,0,0
session_1134,user_2880,Mobile,France,Google,1,1,1,1,1,1
session_1135,user_1764,Tablet,Canada,Social Media,1,1,0,0,0,0
session_1136,user_1701,Mobile,Australia,Direct,1,1,0,0,0,0
session_1137,user_2415,Mobile,France,Email,1,1,1,1,1,1
session_1138,user_1009,Tablet,Canada,Google,1,1,0,0,0,0
session_1139,user_2774,Mobile,Germany,Google,1,1,1,0,0,0
session_114,user_2803,Mobile,Germany,Email,1,1,0,0,0,0
session_1140,user_1657,Mobile,UK,Direct,1,0,0,0,0,0
session_1141,user_2636,Tablet,USA,Email,1,1,1,1,1,1
session_1142,user_1317,Tablet,Canada,Email,1,1,0,0,0,0
session_1143,user_2588,Desktop,Germany,Email,1,1,1,1,0,0
session_1144,user_2040,Desktop,Australia,Email,1,1,0,0,0,0
session_1145,user_1716,Desktop,France,Email,1,1,1,1,0,0
session_1146,user_1033,Mobile,USA,Social Media,1,1,1,1,1,1
session_1147,user_2850,Desktop,Australia,Social Media,1,1,1,1,1,1
session_1148,user_1098,Desktop,Australia,Email,1,1,0,0,0,0
session_1149,user_1423,Tablet,Germany,Social Media,1,1,1,0,0,0
